Emotion,Labels,Example,Response1 - OLD,Updated Responses 1,Responses 2,Response 3,Response 4,,,,,,,,,,,,,,,,
Ambiguous,Clarify Event,I spoke to a friend.,How did it go? ,Tell me more. ,,,,,,,,,,,,,,,,,,,
Ambiguous,Clarify Feelings,Work a lot,How do you feel about that?,Tell me more. ,,,,,,,,,,,,,,,,,,,
Ambiguous,Clarify Person,Talking to Ben,Who is {Ben}?,Who is {Ben}?,,,,,,,,,,,,,,,,,,,
Deny,,,,,,,,,,,,,,,,,,,,,,,
Emotions,Negative,,,,,,,,,,,,,,,,,,,,,,
Emotions,Positive,,,,,,,,,,,,,,,,,,,,,,
Negative,house chores+unproductive,I needed to get more work done at home.,Sounds like you feel guilty for not getting more chores done. It's easy to feel this way when there is so much to do around the house! ,Sounds like you feel guilty for not getting more chores done. It's easy to feel this way when there is so much to do around the house! ,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,"I started different chores, but didn't quite finish any of them.",Sounds like you're frustrated at yourself and feeling stressed out by the amount of chores to do. ,You seem stressed out by the amount of chores to do. ,,,,,,,,,,,,,,,,,,,
Negative,Negative from others,Listening to a colleague complain.,"It's very nice of you to be there for your colleague. At the same time, it can be upsetting and frustrating for you too. ",That sounds difficult. I'm sorry you had to go through that. ,,,,,,,,,,,,,,,,,,,
Negative,covid,I couldn't stop crying because I'm tired of being locked down in our house because of covid,Sorry that you're having a hard time during lockdown. You're no alone. Many people are having a hard time adjusting. ,Sounds like you're having a hard time adjusting to this covid situation. You're not alone. Many people feel the same way. ,,,,,,,,,,,,,,,,,,,
Negative,death,I found out my grandfather is dying,I'm so sorry to hear that. It's always hard losing a family member. ,I'm so sorry to hear that. Losing a loved one is heartbreaking.,,,,,,,,,,,,,,,,,,,
Negative,other's health,My husband being sick.,I'm so sorry to hear that. It's hard when someone you care about is sick. ,It's hard to not be worried when a loved one is not doing well. ,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,Didn't have much time with kids today,Sounds like you're feeling a bit guilty for not spending time with your kids. A lot of parents feel this way when facing competing demands from different areas of their life. ,Sounds like you're feeling guilty. A lot of parents feel this way when facing competing demands from different areas of their life. ,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,My son was home from daycare today and refused to nap.,That's frustrating. Kids can be hard to deal with sometimes. ,That sounds difficult. Kids bring us joy but sometimes can be hard to deal with.,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,Kid had a temper tantrum for 30 min.,That's frustrating. Kids can be hard to deal with sometimes. ,That sounds difficult. Kids bring us joy but sometimes can be hard to deal with.,,,,,,,,,,,,,,,,,,,
Negative,kids+health,My kiddo is still in the hospital.,I'm sorry to hear that. It makes sense that you might be feeling worried. ,I'm sorrry to hear that. You must be very worried. ,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,Being short with my daughters because they were not ready to go when i had asked them to be ready.,"Seems like you're frustrated at yourself. At the same time, it's hard to not lose patience with kids sometimes, especially when we're short on time or are having a difficult day. ","Caregiving can be challenging sometimes, especially when you already have a lot on your plate. ",,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,I had an upset stomach for most of the afternoon.,I'm sorry that you're not feeling well. It's hard to enjoy life when you're not feeling your best. ,I'm sorry that you're not feeling well. It's hard to enjoy life when you're not feeling your best. ,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,Having a headache for several hours,Sounds like you've been in pain for a while. That can make people feel tired sometimes. ,Sounds like you've been in pain for a while. That can make people feel tired sometimes. ,,,,,,,,,,,,,,,,,,,
Negative,partner+issues,Argued with husband about how he was approaching some DIY projects in the house,"Seems like there was some disagreement between you and your husband. Depending on the nature of the disagreement, it can create tension in the relasionship. ",Sounds like you're having some issues with your partner. That tension can be hard to deal with on a daily basis. ,,,,,,,,,,,,,,,,,,,
Negative,role conflict,Didn't get to finish a project because I need to care for my daughter,It sounds like you're frustrated not being able to get work done. It's very hard to juggle work and caregiving. ,Seems like you're feeling stretched too thin with demands from different areas of your life and feeling guilty that you are not able to do all of them well. ,,,,,,,,,,,,,,,,,,,
Negative,self-care+eating,I felt burned out and ate poorly.,"Sounds like you're feeling a guilty for not eating well. Sometimes when we're tired and exhausted, it's hard to make the right food choices. ","Sounds like you're feeling a guilty for not eating well. Sometimes when we're tired and exhausted, it's hard to make the right food choices. ",,,,,,,,,,,,,,,,,,,
Negative,self-care+exercise,Missed my workout today,Sounds like you're feeling guilty for not working out today. Sometimes it's hard to stick to workout plan when we're having a difficult day.,Sounds like you're feeling guilty for not working out today. Sometimes it's hard to stick to workout plan when we're having a difficult day.,,,,,,,,,,,,,,,,,,,
Negative,self-care+sleep,Couldn't sleep.,Sounds like you're feeling guilty for not working out today. Sometimes it's hard to stick to workout plan when we're having a difficult day.,I'm sorry to hear you didn't sleep well. It's hard to feel refreshed and ready for the day ahead when your didn't get a good night of sleep. ,,,,,,,,,,,,,,,,,,,
Negative,uncertainty,I'm not sure what's going to happen,It sounds like you're worried. Uncertainty often causes anxiety. ,It sounds like you're worried. Uncertainty often causes anxiety. ,,,,,,,,,,,,,,,,,,,
Negative,work+difficult conversation,Having difficult conversations at work about staff  that have been laid off due budget cuts.,That's a tough conversation to have. I'm sorry you had to deal with that. ,Difficult conversations are unavoidable. And they can be pretty stressful sometimes.,,,,,,,,,,,,,,,,,,,
Negative,work+distracted,I felt unfocused at work.,Staying focused can be hard somtimes. It sounds like you're a little frustrated with yourself. Am I understanding your experience correctly?,Staying focused can be hard somtimes. It sounds like you're a little frustrated with yourself. ,,,,,,,,,,,,,,,,,,,
Negative,work+frustration,Waiting on approvals for end of project still,NA,Work seems to be frustrating to you right now. ,,,,,,,,,,,,,,,,,,,
Negative,work+stressful,Work was a little stressful.,What happened? ,Work can be very stressful and overwhelming. Taking care of ourselves is especially important right now. ,,,,,,,,,,,,,,,,,,,
Negative,work+unproductive,I feel like I should have done more at work today.,"It sounds like being productive at work is important to you, and you're disappointed at yourself for not able to achive that. Am I understanding your experience correctly?",Being productive is important for a lot of us. It sounds like you're feeling guilty and maybe frustrated right now. ,,,,,,,,,,,,,,,,,,,
Negative+positive,,I totally messed up today's appointments but my son hung in their with me. We got through it,NA,I'm glad it all worked out in the end. Sounds like you're feeling angry towards yourself right now.,,,,,,,,,,,,,,,,,,,
out of scope,,,,,,,,,,,,,,,,,,,,,,,
Positive,coworker+conversation/interaction,I had a nice conversation with my colleagues today,That's great. Sounds like you're getting along with your colleagues at work! ,That's great. Sounds like you're getting along with your colleagues at work! ,,,,,,,,,,,,,,,,,,,
Positive,family+family time,Had a nice walk with the family.,Sounds like a wonderful time with your family! Spending time with family can make us feel more connected with our loved ones.,Spending time with family can make us feel more connected with our loved ones.,,,,,,,,,,,,,,,,,,,
Positive,help others,I was able to help my mother in law.,Nice! It's feels good to be helpful to others. ,Being helpful and kind to others can bring joy to ourselves as well. ,,,,,,,,,,,,,,,,,,,
Positive,general,We had a meetup with another family and had a nice adult time while our kids played together,Sounds like you had a great day! ,Sounds like you had a great day! ,,,,,,,,,,,,,,,,,,,
Positive,house chores+productive,I finished gardening today,That's great! House chorse can seem endless somtimes. I'm glad you crossed one thing off your to-do list! ,That's great! House chorse can seem endless somtimes. I'm glad you got something crossed off your to-do list! ,,,,,,,,,,,,,,,,,,,
Positive,kids+good behavior,Kids were sweet and brought home flowers for my birthday. ,That is sweet. Sounds like this was a wonderful highlight to your day!,Children are such a blessing. They can bring so much joy! ,,,,,,,,,,,,,,,,,,,
Positive,kids+spend time together,Had fun picking blueberries in the backyard with my daughter,Sounds like you had a good time with your daughter! Spending quality time together is a great way to strengthen family bonds. ,Sounds like you had a good time with your daughter/son/kids. Spending quality time together is a great way to strengthen family bonds. ,,,,,,,,,,,,,,,,,,,
Positive,birthday,Got to celebrate my daughters birthday.,NA,Happy birthday! ,,,,,,,,,,,,,,,,,,,
Positive,partner+good communication,I took time to reflect and had a good talk with my husband,I'm glad that you had a good conversation with your partner. Communication is an essential part of any healthy partnership. ,I'm glad that you had a good conversation with your partner. Communication is so important to any relationship. ,,,,,,,,,,,,,,,,,,,
Positive,spouse+spend time,I had a glass of wine with my husband,I'm glad you were able to spend some time with you husband. It can be hard with everything that's going on. ,I'm glad you were able to spend some time with you husband. Quality time is nourishing to relationships. ,,,,,,,,,,,,,,,,,,,
Positive,self-care+exercise,I fit in a good work out today.,"I'm glad you were able to take the time to exercise today! Exercising can have both physical and mental benefits, such as promoting better sleep and improving our mood. ","I'm glad you were able to take the time to exercise today! Exercising can have both physical and mental benefits, such as promoting better sleep and improving our mood. ",,,,,,,,,,,,,,,,,,,
Positive,self-care+mental health,I was able to speak to my therapist.,I'm glad that you had someone to go to and talk things out when you need that. ,I'm glad that you were able to talk things out when you need that. ,,,,,,,,,,,,,,,,,,,
Positive,self-care+nap,I took a nice nap after work.,Great to hear you were able to take some time to nap today! Naps can re-energize us and help us take on the rest of the day. ,Great to hear you were able to take some time to nap today! Naps can re-energize us and help us take on the rest of the day. ,,,,,,,,,,,,,,,,,,,
Positive,self-care+physical pain,Hello. I didn't do much today but I did get my stretching in!,I'm glad that you took time today to take care of yourself! We can get so busy with life sometimes and forget to care for ourselves. ,I'm glad that you took time today to take care of yourself! We can get so busy with life sometimes and forget to care for ourselves. ,,,,,,,,,,,,,,,,,,,
Positive,self-care+relax,I got to sit and relax a bit.,"Sounds rejuvenating! It can be hard to find the time to care for ourselves, but it can help improve our mood and our health.",Sounds rejuvenating! Finding time to relax and recharge can help improve our mood and our health.,,,,,,,,,,,,,,,,,,,
Positive,self-care+sleep,I had a nice sleep.,I'm happy to hear you were able to get some good sleep last night. Getting regular sleep can make us feel more energized and less stressed.  ,I'm happy to hear you were able to get some good sleep last night. Getting regular sleep can make us feel more energized and less stressed.  ,,,,,,,,,,,,,,,,,,,
Positive,self-care+socialize with friends,We had friends over for dinner tonight. A first in so long and made me feel vibrant and connected again!,Sounds like you had a good time with your friends! Socializing with friends regularly can make us feel connected and less lonely. ,Sounds like you had a good time with your friends! Socializing with friends regularly can make us feel connected and less lonely. ,,,,,,,,,,,,,,,,,,,
Positive,self-care+take break,I took work off to rest and recover.,"Sounds rejuvenating! It can be hard to find the time to care for ourselves, but it can help improve our mood and our health.",Resting and taking breaks can help use decompress and feel refreshed!,,,,,,,,,,,,,,,,,,,
Positive,work+interview,I had a good interview,That's great! Seems like you're successful at the first step of gettig a job!,That's great! Seems like you're successful at the first step of gettig a job.,,,,,,,,,,,,,,,,,,,
Positive,work+productive,Today I was able to complete this challenging task for work.,Wonderful! Being able to deal with a challlenging task can bring us s a sense of achievement! ,Making progress at work can bring such a sense of achievement.,,,,,,,,,,,,,,,,,,,
Thank you ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
